,columns,missing values count
0,Sensor - 1,8
1,Sensor - 2,22
2,Sensor - 3,104
3,Sensor - 4,104
4,Sensor - 5,104
5,Sensor - 6,104
6,Sensor - 7,104
7,Sensor - 8,64
8,Sensor - 9,16
9,Sensor - 10,16
10,Sensor - 11,16
11,Sensor - 12,16
12,Sensor - 13,16
13,Sensor - 14,24
14,Sensor - 15,24
15,Sensor - 16,24
16,Sensor - 17,24
17,Sensor - 18,24
18,Sensor - 19,24
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,7
22,Sensor - 23,7
23,Sensor - 24,7
24,Sensor - 25,7
25,Sensor - 26,7
26,Sensor - 27,7
27,Sensor - 28,7
28,Sensor - 29,7
29,Sensor - 30,7
30,Sensor - 31,7
31,Sensor - 32,7
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,109
41,Sensor - 42,109
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,8
54,Sensor - 55,8
55,Sensor - 56,8
56,Sensor - 57,8
57,Sensor - 58,8
58,Sensor - 59,8
59,Sensor - 60,38
60,Sensor - 61,38
61,Sensor - 62,38
62,Sensor - 63,38
63,Sensor - 64,38
64,Sensor - 65,38
65,Sensor - 66,38
66,Sensor - 67,38
67,Sensor - 68,38
68,Sensor - 69,38
69,Sensor - 70,38
70,Sensor - 71,38
71,Sensor - 72,38
72,Sensor - 73,4101
73,Sensor - 74,4101
74,Sensor - 75,38
75,Sensor - 76,192
76,Sensor - 77,192
77,Sensor - 78,192
78,Sensor - 79,192
79,Sensor - 80,192
80,Sensor - 81,192
81,Sensor - 82,192
82,Sensor - 83,192
83,Sensor - 84,8
84,Sensor - 85,15
85,Sensor - 86,4696
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,399
90,Sensor - 91,399
91,Sensor - 92,37
92,Sensor - 93,16
93,Sensor - 94,16
94,Sensor - 95,37
95,Sensor - 96,37
96,Sensor - 97,37
97,Sensor - 98,37
98,Sensor - 99,37
99,Sensor - 100,37
100,Sensor - 101,37
101,Sensor - 102,37
102,Sensor - 103,37
103,Sensor - 104,16
104,Sensor - 105,16
105,Sensor - 106,37
106,Sensor - 107,37
107,Sensor - 108,37
108,Sensor - 109,37
109,Sensor - 110,2190
110,Sensor - 111,2190
111,Sensor - 112,2190
112,Sensor - 113,4288
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,192
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,24
122,Sensor - 123,24
123,Sensor - 124,24
124,Sensor - 125,24
125,Sensor - 126,24
126,Sensor - 127,24
127,Sensor - 128,24
128,Sensor - 129,24
129,Sensor - 130,24
130,Sensor - 131,24
131,Sensor - 132,24
132,Sensor - 133,24
133,Sensor - 134,24
134,Sensor - 135,24
135,Sensor - 136,0
136,Sensor - 137,8
137,Sensor - 138,22
138,Sensor - 139,104
139,Sensor - 140,104
140,Sensor - 141,104
141,Sensor - 142,104
142,Sensor - 143,104
143,Sensor - 144,64
144,Sensor - 145,16
145,Sensor - 146,16
146,Sensor - 147,16
147,Sensor - 148,16
148,Sensor - 149,16
149,Sensor - 150,24
150,Sensor - 151,24
151,Sensor - 152,24
152,Sensor - 153,24
153,Sensor - 154,24
154,Sensor - 155,24
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,5930
158,Sensor - 159,5930
159,Sensor - 160,7
160,Sensor - 161,7
161,Sensor - 162,7
162,Sensor - 163,7
163,Sensor - 164,7
164,Sensor - 165,7
165,Sensor - 166,7
166,Sensor - 167,7
167,Sensor - 168,7
168,Sensor - 169,7
169,Sensor - 170,7
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,109
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,8
191,Sensor - 192,8
192,Sensor - 193,8
193,Sensor - 194,8
194,Sensor - 195,8
195,Sensor - 196,8
196,Sensor - 197,38
197,Sensor - 198,38
198,Sensor - 199,38
199,Sensor - 200,38
200,Sensor - 201,38
201,Sensor - 202,38
202,Sensor - 203,38
203,Sensor - 204,38
204,Sensor - 205,38
205,Sensor - 206,38
206,Sensor - 207,38
207,Sensor - 208,38
208,Sensor - 209,38
209,Sensor - 210,38
210,Sensor - 211,192
211,Sensor - 212,192
212,Sensor - 213,192
213,Sensor - 214,192
214,Sensor - 215,192
215,Sensor - 216,192
216,Sensor - 217,192
217,Sensor - 218,192
218,Sensor - 219,8
219,Sensor - 220,15
220,Sensor - 221,4696
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,399
225,Sensor - 226,399
226,Sensor - 227,37
227,Sensor - 228,16
228,Sensor - 229,16
229,Sensor - 230,37
230,Sensor - 231,37
231,Sensor - 232,37
232,Sensor - 233,37
233,Sensor - 234,37
234,Sensor - 235,37
235,Sensor - 236,37
236,Sensor - 237,37
237,Sensor - 238,37
238,Sensor - 239,16
239,Sensor - 240,16
240,Sensor - 241,37
241,Sensor - 242,37
242,Sensor - 243,37
243,Sensor - 244,37
244,Sensor - 245,2190
245,Sensor - 246,2190
246,Sensor - 247,2190
247,Sensor - 248,4288
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,192
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,24
257,Sensor - 258,24
258,Sensor - 259,24
259,Sensor - 260,24
260,Sensor - 261,24
261,Sensor - 262,24
262,Sensor - 263,24
263,Sensor - 264,24
264,Sensor - 265,24
265,Sensor - 266,24
266,Sensor - 267,24
267,Sensor - 268,24
268,Sensor - 269,24
269,Sensor - 270,24
270,Sensor - 271,0
271,Sensor - 272,8
272,Sensor - 273,22
273,Sensor - 274,104
274,Sensor - 275,104
275,Sensor - 276,104
276,Sensor - 277,104
277,Sensor - 278,104
278,Sensor - 279,64
279,Sensor - 280,16
280,Sensor - 281,16
281,Sensor - 282,16
282,Sensor - 283,16
283,Sensor - 284,16
284,Sensor - 285,24
285,Sensor - 286,24
286,Sensor - 287,24
287,Sensor - 288,24
288,Sensor - 289,24
289,Sensor - 290,24
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,5930
293,Sensor - 294,5930
294,Sensor - 295,7
295,Sensor - 296,7
296,Sensor - 297,7
297,Sensor - 298,7
298,Sensor - 299,7
299,Sensor - 300,7
300,Sensor - 301,7
301,Sensor - 302,7
302,Sensor - 303,7
303,Sensor - 304,7
304,Sensor - 305,7
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,109
314,Sensor - 315,109
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,8
327,Sensor - 328,8
328,Sensor - 329,8
329,Sensor - 330,8
330,Sensor - 331,8
331,Sensor - 332,8
332,Sensor - 333,38
333,Sensor - 334,38
334,Sensor - 335,38
335,Sensor - 336,38
336,Sensor - 337,38
337,Sensor - 338,38
338,Sensor - 339,38
339,Sensor - 340,38
340,Sensor - 341,38
341,Sensor - 342,38
342,Sensor - 343,38
343,Sensor - 344,38
344,Sensor - 345,38
345,Sensor - 346,4101
346,Sensor - 347,4101
347,Sensor - 348,38
348,Sensor - 349,192
349,Sensor - 350,192
350,Sensor - 351,192
351,Sensor - 352,192
352,Sensor - 353,192
353,Sensor - 354,192
354,Sensor - 355,192
355,Sensor - 356,192
356,Sensor - 357,8
357,Sensor - 358,15
358,Sensor - 359,4696
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,399
363,Sensor - 364,399
364,Sensor - 365,37
365,Sensor - 366,16
366,Sensor - 367,16
367,Sensor - 368,37
368,Sensor - 369,37
369,Sensor - 370,37
370,Sensor - 371,37
371,Sensor - 372,37
372,Sensor - 373,37
373,Sensor - 374,37
374,Sensor - 375,37
375,Sensor - 376,37
376,Sensor - 377,16
377,Sensor - 378,16
378,Sensor - 379,37
379,Sensor - 380,37
380,Sensor - 381,37
381,Sensor - 382,37
382,Sensor - 383,2190
383,Sensor - 384,2190
384,Sensor - 385,2190
385,Sensor - 386,4288
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,192
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,24
395,Sensor - 396,24
396,Sensor - 397,24
397,Sensor - 398,24
398,Sensor - 399,24
399,Sensor - 400,24
400,Sensor - 401,24
401,Sensor - 402,24
402,Sensor - 403,24
403,Sensor - 404,24
404,Sensor - 405,24
405,Sensor - 406,24
406,Sensor - 407,24
407,Sensor - 408,24
408,Sensor - 409,0
409,Sensor - 410,8
410,Sensor - 411,22
411,Sensor - 412,104
412,Sensor - 413,104
413,Sensor - 414,104
414,Sensor - 415,104
415,Sensor - 416,104
416,Sensor - 417,64
417,Sensor - 418,16
418,Sensor - 419,16
419,Sensor - 420,16
420,Sensor - 421,16
421,Sensor - 422,16
422,Sensor - 423,24
423,Sensor - 424,24
424,Sensor - 425,24
425,Sensor - 426,24
426,Sensor - 427,24
427,Sensor - 428,24
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,7
431,Sensor - 432,7
432,Sensor - 433,7
433,Sensor - 434,7
434,Sensor - 435,7
435,Sensor - 436,7
436,Sensor - 437,7
437,Sensor - 438,7
438,Sensor - 439,7
439,Sensor - 440,7
440,Sensor - 441,7
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
